brand,name,addr:housenumber,addr:street,addr:city,addr:state,addr:postcode,phone,website,lat,lon,coming_soon,source_url
Just Salad,{{location_name}},"{{address_1}} {{address_2}} {{city}} ,Â {{state}} Â {{zipcode}}",,,,,,https://www.justsalad.com/location/16-new-york,,,,https://www.justsalad.com/location/16-new-york
Just Salad,{{location_name}},"{{address_1}} {{address_2}} {{city}} ,Â {{state}} Â {{zipcode}}",,,,,,https://www.justsalad.com/location/17-new-york,,,,https://www.justsalad.com/location/17-new-york
Just Salad,{{location_name}},"{{address_1}} {{address_2}} {{city}} ,Â {{state}} Â {{zipcode}}",,,,,,https://www.justsalad.com/location/18-chicago,,,,https://www.justsalad.com/location/18-chicago
Just Salad,{{location_name}},"{{address_1}} {{address_2}} {{city}} ,Â {{state}} Â {{zipcode}}",,,,,,https://www.justsalad.com/location/19-new-york,,,,https://www.justsalad.com/location/19-new-york
Just Salad,{{location_name}},"{{address_1}} {{address_2}} {{city}} ,Â {{state}} Â {{zipcode}}",,,,,,https://www.justsalad.com/location/20-brooklyn,,,,https://www.justsalad.com/location/20-brooklyn
Just Salad,{{location_name}},"{{address_1}} {{address_2}} {{city}} ,Â {{state}} Â {{zipcode}}",,,,,,https://www.justsalad.com/location/22-chicago,,,,https://www.justsalad.com/location/22-chicago
Just Salad,{{location_name}},"{{address_1}} {{address_2}} {{city}} ,Â {{state}} Â {{zipcode}}",,,,,,https://www.justsalad.com/location/23-central-valley,,,,https://www.justsalad.com/location/23-central-valley
Just Salad,{{location_name}},"{{address_1}} {{address_2}} {{city}} ,Â {{state}} Â {{zipcode}}",,,,,,https://www.justsalad.com/location/24-new-york,,,,https://www.justsalad.com/location/24-new-york
Just Salad,{{location_name}},"{{address_1}} {{address_2}} {{city}} ,Â {{state}} Â {{zipcode}}",,,,,,https://www.justsalad.com/location/26-jersey-city,,,,https://www.justsalad.com/location/26-jersey-city
Just Salad,{{location_name}},"{{address_1}} {{address_2}} {{city}} ,Â {{state}} Â {{zipcode}}",,,,,,https://www.justsalad.com/location/27-chicago,,,,https://www.justsalad.com/location/27-chicago
Just Salad,{{location_name}},"{{address_1}} {{address_2}} {{city}} ,Â {{state}} Â {{zipcode}}",,,,,,https://www.justsalad.com/location/29-philadelphia,,,,https://www.justsalad.com/location/29-philadelphia
Just Salad,{{location_name}},"{{address_1}} {{address_2}} {{city}} ,Â {{state}} Â {{zipcode}}",,,,,,https://www.justsalad.com/location/3-new-york,,,,https://www.justsalad.com/location/3-new-york
Just Salad,{{location_name}},"{{address_1}} {{address_2}} {{city}} ,Â {{state}} Â {{zipcode}}",,,,,,https://www.justsalad.com/location/30-new-york,,,,https://www.justsalad.com/location/30-new-york
Just Salad,{{location_name}},"{{address_1}} {{address_2}} {{city}} ,Â {{state}} Â {{zipcode}}",,,,,,https://www.justsalad.com/location/31-philadelphia,,,,https://www.justsalad.com/location/31-philadelphia
Just Salad,{{location_name}},"{{address_1}} {{address_2}} {{city}} ,Â {{state}} Â {{zipcode}}",,,,,,https://www.justsalad.com/location/32-new-york,,,,https://www.justsalad.com/location/32-new-york
Just Salad,{{location_name}},"{{address_1}} {{address_2}} {{city}} ,Â {{state}} Â {{zipcode}}",,,,,,https://www.justsalad.com/location/33-new-york,,,,https://www.justsalad.com/location/33-new-york
Just Salad,{{location_name}},"{{address_1}} {{address_2}} {{city}} ,Â {{state}} Â {{zipcode}}",,,,,,https://www.justsalad.com/location/36-new-york,,,,https://www.justsalad.com/location/36-new-york
Just Salad,{{location_name}},"{{address_1}} {{address_2}} {{city}} ,Â {{state}} Â {{zipcode}}",,,,,,https://www.justsalad.com/location/37-chicago,,,,https://www.justsalad.com/location/37-chicago
Just Salad,{{location_name}},"{{address_1}} {{address_2}} {{city}} ,Â {{state}} Â {{zipcode}}",,,,,,https://www.justsalad.com/location/43-chicago,,,,https://www.justsalad.com/location/43-chicago
Just Salad,{{location_name}},"{{address_1}} {{address_2}} {{city}} ,Â {{state}} Â {{zipcode}}",,,,,,https://www.justsalad.com/location/45-new-york,,,,https://www.justsalad.com/location/45-new-york
